"id","title","url"
"0BSD","BSD Zero Clause License","http://landley.net/toybox/license.html"
"Abstyles","Abstyles License","https://fedoraproject.org/wiki/Licensing/Abstyles"
"Adobe-2006","Adobe Systems Incorporated Source Code License Agreement","https://fedoraproject.org/wiki/Licensing/AdobeLicense"
"Adobe-Glyph","Adobe Glyph List License","https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph"
"ADSL","Amazon Digital Services License","https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense"
"AFL-1.1","Academic Free License v1.1","http://wayback.archive.org/web/20021004124254/http://www.opensource.org/licenses/academic.php"
"AFL-1.2","Academic Free License v1.2","http://wayback.archive.org/web/20021204204652/http://www.opensource.org/licenses/academic.php"
"AFL-2.0","Academic Free License v2.0","http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt"
"AFL-2.1","Academic Free License v2.1","http://opensource.linux-mirror.org/licenses/afl-2.1.txt"
"AFL-3.0","Academic Free License v3.0","https://opensource.org/licenses/afl-3.0"
"Afmparse","Afmparse License","https://fedoraproject.org/wiki/Licensing/Afmparse"
"Against-DRM","Against DRM","https://opendefinition.org/licenses/against-drm"
"AGPL-1.0","Affero General Public License v1.0","http://www.affero.org/oagpl.html"
"AGPL-1.0-only","Affero General Public License v1.0 only","http://www.affero.org/oagpl.html"
"AGPL-1.0-or-later","Affero General Public License v1.0 or later","http://www.affero.org/oagpl.html"
"AGPL-3.0-only","GNU Affero General Public License v3.0 only","https://opensource.org/licenses/AGPL-3.0"
"AGPL-3.0-or-later","GNU Affero General Public License v3.0 or later","https://opensource.org/licenses/AGPL-3.0"
"AGPL-3.0","GNU Affero General Public License v3.0","https://opensource.org/licenses/AGPL-3.0"
"Aladdin","Aladdin Free Public License","http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm"
"AMDPLPA","AMD's plpa_map.c License","https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License"
"AML","Apple MIT License","https://fedoraproject.org/wiki/Licensing/Apple_MIT_License"
"AMPAS","Academy of Motion Picture Arts and Sciences BSD","https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD"
"ANTLR-PD","ANTLR Software Rights Notice","http://www.antlr2.org/license.html"
"ANTLR-PD-fallback","ANTLR Software Rights Notice with license fallback","http://www.antlr2.org/license.html"
"Apache-1.0","Apache License 1.0","http://www.apache.org/licenses/LICENSE-1.0"
"Apache-1.1","Apache License 1.1","https://opensource.org/licenses/Apache-1.1"
"Apache-2.0","Apache License 2.0","https://opensource.org/licenses/Apache-2.0"
"APAFML","Adobe Postscript AFM License","https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM"
"APL-1.0","Adaptive Public License 1.0","https://opensource.org/licenses/APL-1.0"
"APSL-1.0","Apple Public Source License 1.0","https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0"
"APSL-1.1","Apple Public Source License 1.1","http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE"
"APSL-1.2","Apple Public Source License 1.2","http://www.samurajdata.se/opensource/mirror/licenses/apsl.php"
"APSL-2.0","Apple Public Source License 2.0","http://www.opensource.apple.com/license/apsl/"
"Artistic-1.0","Artistic License 1.0","https://opensource.org/licenses/Artistic-1.0"
"Artistic-1.0-cl8","Artistic License 1.0 w/clause 8","https://opensource.org/licenses/Artistic-1.0"
"Artistic-1.0-Perl","Artistic License 1.0 (Perl)","http://dev.perl.org/licenses/artistic.html"
"Artistic-2.0","Artistic License 2.0","https://opensource.org/licenses/artistic-license-2.0"
"AAL","Attribution Assurance License","https://opensource.org/licenses/attribution"
"Bahyph","Bahyph License","https://fedoraproject.org/wiki/Licensing/Bahyph"
